Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1275,City University of London,1.09,Phd,Glasgow,N/A,1,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.23
1276,Colorado State University Fort Collins,0.08,Phd,Milwaukee,N/A,0,1,N/A,4,Investment Operations Analyst,12/21,9/22,N/A,N/A,N/A,N/A,N/A,N/A,7.11
1277,University of Salford,3.37,Masters,Southampton,N/A,1,1,1,3,Budget Analyst,5/12,12/15,Regulatory Compliance Analyst,1/10,8/14,Algorithmic Compliance Officer,9/21,9/21,0.66
1278,University of Texas at El Paso,2.42,Masters,Hoboken,N/A,1,0,N/A,1,International Finance Analyst,9/20,11/23,N/A,N/A,N/A,N/A,N/A,N/A,3.13
1279,University of Sheffield,4.71,Phd,New Orleans,M,N/A,1,N/A,2,Investment Analyst,5/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.18
1280,San Diego State University,2.42,Bachelors,Toledo,M,N/A,1,N/A,3,Tax Analyst,4/11,4/15,Private Equity Analyst,1/18,1/24,N/A,N/A,N/A,4.37
1281,Massachusetts Institute of Technology,4.06,Masters,Cambridge,N/A,0,1,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.03
1282,University of Surrey,4.44,Phd,Cambridge,N/A,1,1,1,4,Investment Analyst,9/9,11/14,Algorithmic Trade Surveillance Analyst,8/24,11/24,N/A,N/A,N/A,4.74
1283,Sheffield Hallam University,0.85,Phd,Berkeley,N/A,0,1,1,3,Algorithmic Trade Surveillance Analyst,8/20,6/24,Asset Management Data Scientist,2/3,2/3,Regulatory Stress Testing Analyst,4/10,9/21,2.36
1284,Massachusetts Institute of Technology,1.3,Bachelors,Ruston,F,N/A,1,1,2,Real Time Transaction Monitoring Analyst,5/7,9/11,N/A,N/A,N/A,N/A,N/A,N/A,4.54
1285,Imperial College London,1.46,Masters,Nottingham,N/A,N/A,1,N/A,2,Basel III Implementation Specialist,11/5,11/14,Basel II Analyst,7/16,3/24,Credit Risk Data Scientist,4/7,5/11,6.51
1286,Kingston University,3.97,Masters,Leeds,F,1,0,N/A,3,Business Intelligence Analyst,4/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.96
1287,Teesside University,4.15,Masters,Vermillion,N/A,N/A,0,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.09
1288,Virginia Polytechnic Institute and State University,0.85,Bachelors,Cambridge,M,0,1,N/A,2,Algorithmic Liquidity Manager,9/15,12/16,Investment Analyst,5/16,5/23,Mutual Fund Analyst,5/21,8/21,2.01
1289,University of Missouri Columbia,2.19,Bachelors,Bradford,N/A,0,1,1,0,Banking Fraud Investigator,4/24,10/24,Algorithmic Market Maker,3/21,8/23,N/A,N/A,N/A,9.77
1290,Edge Hill University,2.68,Masters,Orlando,N/A,1,0,1,4,Credit Default Swap Analyst,3/15,1/21,Banking Operations Data Scientist,5/4,5/24,Operational Risk Analyst,8/12,5/23,4.05
1291,Clark University,2.14,Masters,Toledo,M,1,0,N/A,3,Commodity Analyst,11/5,1/13,Quantitative Behavioral Finance Analyst,1/13,7/19,N/A,N/A,N/A,8.5
1292,University of Lincoln,1.66,Phd,Baltimore,F,N/A,0,1,3,Wealth Management Analyst,9/11,2/21,Financial Econometrics Researcher,2/18,12/18,Strategic Planning Analyst,9/15,6/16,7.36
1293,University of Hull,4.67,Bachelors,Omaha,M,N/A,1,1,1,Investment Portfolio Analyst,1/9,3/9,N/A,N/A,N/A,N/A,N/A,N/A,7.58
1294,California Institute of Technology,3.5,Bachelors,Austin,N/A,N/A,1,N/A,1,Customer Experience Analyst,1/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.24
1295,Louisiana State University,4.35,Masters,Tuscaloosa,F,0,1,N/A,0,Predictive Analytics Manager,12/3,N/A,Forensic Accountant,1/9,12/24,N/A,N/A,N/A,6.03
1296,University of Oxford,1.1,Masters,Albany,M,1,1,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.95
1297,University of Massachusetts,2.32,Masters,Lincoln,F,1,1,N/A,0,Equity Research Analyst,12/9,4/21,Cost Analyst,9/9,12/24,Machine Learning Engineer,10/11,9/23,9.88
1298,University of Roehampton,1.51,Masters,San Diego,M,0,1,0,4,Econometrician,6/12,8/14,Algorithmic Trading Risk Manager,7/17,8/21,Credit Risk Analyst,2/13,10/24,3.11
1299,New Jersey Institute of Technology,0.37,Bachelors,Portland,N/A,N/A,1,1,3,Financial Modelling Analyst,4/19,N/A,Client Relations Analyst,9/4,3/7,Cost Analyst,3/5,2/21,8.14
1300,UCL,4.57,Bachelors,Seattle,M,0,1,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.26
1301,Clark University,4.81,Phd,Baltimore,N/A,N/A,0,1,1,Financial Forecasting Analyst,2/7,N/A,Financial Market Data Scientist,10/21,6/22,Financial Advisor,10/3,1/5,4.7
1302,Imperial College London,4.68,Bachelors,Bloomsbury,F,N/A,0,N/A,1,Structured Finance Analyst,8/20,6/22,Operational Risk Analyst,3/8,10/17,Behavioral Analytics Researcher,8/20,2/22,7.17
1303,Manchester Metropolitan University,3.72,Phd,Fairfax,M,0,1,1,2,Model Implementation Specialist,3/14,6/15,Market Risk Quantitative Analyst,1/22,11/23,Algorithmic Risk Manager,2/15,11/17,6.99
1304,Harvard University,0.7,Phd,Washington,N/A,0,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.19
1305,Princeton University,1.66,Masters,York,F,N/A,1,1,2,Stress Testing Modeler,2/12,5/18,Investment Banking Analyst,12/8,5/22,Derivatives Analyst,3/23,3/24,4.49
1306,University of Chester,1.29,Masters,St. Andrews,N/A,N/A,1,N/A,0,Algorithm Developer,4/7,8/20,Regulatory Capital Analyst,9/22,10/24,Economic Analyst,2/23,10/24,6.17
1307,University of Hertfordshire,0.91,Bachelors,Prince George's County,F,1,0,N/A,0,Algorithmic Market Maker,3/23,8/24,N/A,N/A,N/A,N/A,N/A,N/A,7.33
1308,Florida State University,0.56,Bachelors,Milton Keynes,M,N/A,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.98
1309,Duke University,0.08,Masters,Minneapolis,F,1,1,N/A,4,Venture Capital Analyst,8/8,11/8,Economic Analyst,11/16,1/23,Enterprise Risk Management Analyst,11/15,5/21,2.93
1310,University of Essex,1.64,Masters,New Brunswick,N/A,N/A,1,N/A,2,Liquidity Stress Testing Analyst,8/8,5/17,Business Development Analyst,12/2,11/9,Insurance Analyst,3/16,5/19,4.49
1311,University of Cincinnati,3.18,Bachelors,Ithaca,N/A,1,0,0,1,Credit Portfolio Manager,11/14,8/20,Risk Analyst,2/14,2/24,Quantitative Trading Analyst,2/17,8/20,9.88
1312,Swansea University,0.88,Phd,Prince George's County,F,0,0,1,2,Capital Adequacy Modeler,12/14,6/20,Machine Learning Engineer,7/8,2/20,N/A,N/A,N/A,2.19
1313,University of Missouri Columbia,4.48,Masters,Liverpool,M,N/A,1,1,0,Asset Pricing Analyst,5/6,7/19,Economic Capital Analyst,1/16,12/21,Data Visualization Specialist,12/5,10/10,2.74
1314,University of Alabama in Huntsville,0.65,Bachelors,Seattle,M,0,0,0,2,Financial Econometrics Researcher,10/2,11/24,Equity Research Analyst,11/7,12/12,Algorithmic Market Maker,1/22,4/24,4.53
1315,University of Westminster,3.92,Bachelors,Chicago,N/A,1,1,N/A,1,Regulatory Stress Testing Analyst,5/9,7/12,N/A,N/A,N/A,N/A,N/A,N/A,8.15
1316,University of Lincoln,0.82,Masters,Boston,N/A,N/A,1,N/A,4,Corporate Strategy Data Scientist,9/18,3/19,Banking Technology Consultant,5/9,10/22,N/A,N/A,N/A,6.52
1317,University of Houston,0.59,Masters,Boston,F,1,0,1,3,Quantitative Behavioral Finance Analyst,7/14,1/21,Data Visualization Specialist,7/2,4/4,N/A,N/A,N/A,6.27
1318,University of California Merced,1.12,Bachelors,Baltimore,F,N/A,0,1,2,Model Development Analyst,6/21,4/23,Customer Segmentation Specialist,7/11,10/11,N/A,N/A,N/A,2.85
1319,University of Delaware,1.63,Masters,Cambridge,N/A,1,1,0,1,Economic Capital Analyst,9/12,4/15,Retail Banking Analyst,1/9,12/9,N/A,N/A,N/A,7.75
1320,University of Florida,1.17,Masters,Fairfax,F,N/A,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.83
1321,University of Central Florida,1.1,Masters,Portland,F,0,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.79
1322,Brandeis University,0.73,Masters,Oxford,N/A,1,1,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.2
1323,Stony Brook University,0.05,Bachelors,Omaha,M,0,1,1,1,Investment Risk Analyst,4/21,11/21,N/A,N/A,N/A,N/A,N/A,N/A,9.83
1324,University of Nottingham,3,Masters,Troy,N/A,N/A,1,0,1,Financial Econometrics Researcher,8/17,9/19,Operational Risk Analyst,1/20,12/22,Predictive Analytics Manager,1/20,6/20,8.59
1325,Glasgow Caledonian University,0.73,Masters,Eugene,M,N/A,1,1,2,Econometrician,1/5,3/7,Algorithmic Compliance Officer,9/12,1/20,Structured Finance Analyst,8/17,7/22,8.86
1326,New Mexico State University,0.09,Phd,Tulsa,N/A,1,1,0,1,Financial Advisor,6/12,8/16,N/A,N/A,N/A,N/A,N/A,N/A,1.79
1327,University of Salford,0.36,Bachelors,North West,F,N/A,1,0,1,Credit Default Swap Analyst,9/24,9/24,Economic Capital Analyst,5/22,11/22,Structured Finance Analyst,5/9,1/11,1.73
1328,University at Buffalo,4.87,Phd,Boston,F,0,0,0,4,Algorithmic Trading Developer,6/24,10/24,Investment Banking Analyst,4/21,12/22,N/A,N/A,N/A,1.93
1329,University of Denver,2.23,Bachelors,Lincoln,M,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.53
1330,Florida State University,0.85,Bachelors,Fort Lauderdale,M,0,1,N/A,3,Mortgage Risk Analyst,4/19,8/22,Quantitative Risk Analyst,11/11,5/13,Economic Analyst,2/11,5/20,4.56
1331,Middlesex University,3.02,Masters,San Marcos,F,N/A,0,N/A,1,Marketing Data Scientist,3/2,11/18,Strategic Planning Analyst,5/10,1/24,Model Risk Management Specialist,2/18,5/22,2.31
1332,Old Dominion University,1.25,Bachelors,Philadelphia,M,0,0,N/A,3,Loan Approval Modeler,7/3,1/22,Alternative Data Researcher,12/12,5/18,N/A,N/A,N/A,9.08
1333,University of Warwick,2.23,Phd,Clemson,F,N/A,1,N/A,3,Quantitative Behavioral Finance Analyst,10/3,12/3,N/A,N/A,N/A,N/A,N/A,N/A,0.81
1334,University of Chester,4.72,Bachelors,Denver,F,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.73
1335,University of Alabama,4.22,Bachelors,Troy,F,0,1,1,0,Risk Appetite Analyst,5/12,6/15,High Frequency Trading Strategist,5/15,5/17,N/A,N/A,N/A,9.75
1336,University of California Santa Barbara,0.44,Bachelors,Camden,M,0,1,N/A,3,Banking Technology Consultant,6/8,N/A,Budget Analyst,1/20,2/21,N/A,N/A,N/A,8.12
1337,University of North Carolina at Chapel Hill,4.79,Bachelors,Philadelphia,M,N/A,1,1,2,Customer Experience Analyst,3/4,7/19,Risk Appetite Analyst,10/24,12/24,Financial Reporting Data Scientist,2/7,10/24,1.83
1338,Colorado State University Fort Collins,3.05,Phd,Las Cruces,F,N/A,0,1,2,Investment Portfolio Analyst,3/9,10/15,Financial Forecasting Analyst,3/13,11/15,N/A,N/A,N/A,6.48
1339,University of Southern California,4.64,Phd,Philadelphia,M,0,0,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.79
1340,Indiana University,1.96,Bachelors,Rolla,F,1,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.23
1341,Coventry University,3.12,Masters,Newcastle upon Tyne,F,N/A,0,N/A,1,Corporate Finance Analyst,7/13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48
1342,Georgetown University,4.89,Phd,Uxbridge,F,1,1,0,2,Banking Analytics Consultant,10/9,1/16,N/A,N/A,N/A,N/A,N/A,N/A,7.5
1343,University of California Santa Cruz,4.03,Bachelors,Honolulu,N/A,0,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.51
1344,Lancaster University,1.66,Phd,Albany,F,1,1,0,2,Customer Segmentation Specialist,9/22,10/22,Econometrician,3/22,12/24,Regulatory Compliance Analyst,3/6,9/6,6.14
1345,University of Nottingham,0.4,Bachelors,Liverpool,N/A,1,0,1,0,Alternative Data Researcher,10/23,1/24,Asset Management Data Scientist,12/5,2/8,Regulatory Stress Testing Analyst,11/11,3/16,3.11
1346,Anglia Ruskin University,4.57,Bachelors,Leeds,N/A,0,0,0,0,Corporate Strategy Data Scientist,1/6,5/17,Actuarial Analyst,9/23,7/24,Liquidity Risk Analyst,2/7,7/15,8.98
1347,Rochester Institute of Technology,4.8,Masters,Newcastle ,M,N/A,0,N/A,1,Financial Planning and Analysis Analyst,9/11,10/21,Business Development Analyst,2/9,4/15,Financial Reporting Analyst,8/18,8/24,1.2
1348,Bournemouth University,1.96,Phd,Ormskirk,F,1,1,1,1,Model Development Analyst,8/13,10/15,Financial Modelling Analyst,9/13,6/16,N/A,N/A,N/A,3.11
1349,University of Salford,3.39,Masters,Bloomington,F,N/A,1,0,2,Risk Modeling Analyst,6/17,2/21,Financial Econometrics Researcher,2/24,7/24,Client Relations Analyst,1/11,9/23,2.52
1350,University of Houston,0.35,Phd,Coleraine,F,0,1,N/A,0,Real Time Transaction Monitoring Analyst,3/21,9/24,Structured Finance Analyst,3/7,7/24,N/A,N/A,N/A,5.77
1351,Loughborough University,3.14,Masters,Tulsa,F,1,0,N/A,2,Consumer Insights Analyst,2/18,3/23,Investment Banking Analyst,3/21,10/21,Model Governance Analyst,4/16,2/19,1.98
1352,University of Westminster,1.89,Phd,Merced,N/A,1,1,1,0,Financial Systems Analyst,7/16,6/17,Sales Analyst,1/7,6/8,Model Implementation Specialist,7/4,7/21,1.01
1353,University of Toledo,2.54,Masters,Leicester,F,0,1,N/A,0,Equity Derivatives Analyst,8/17,3/21,Financial Econometrics Researcher,3/23,8/24,Actuarial Analyst,8/8,7/21,5.19
1354,Stanford University,4.06,Phd,Vermillion,M,N/A,0,N/A,0,Client Relations Analyst,7/16,8/21,Hedge Fund Analyst,9/22,4/24,Investment Portfolio Analyst,11/24,11/24,7.76
1355,University of Idaho,4.96,Masters,Hempstead,F,N/A,1,0,3,Strategic Planning Analyst,3/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A,3.8
1356,Drexel University,3.87,Bachelors,Hoboken,M,1,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.6
1357,Lancaster University,1.82,Phd,Lincoln,M,0,1,0,1,Public Finance Analyst,12/19,5/24,Risk Appetite Analyst,2/10,7/10,N/A,N/A,N/A,9.95
1358,Howard University,0.26,Masters,Hempstead,F,N/A,0,1,4,Equity Derivatives Analyst,2/12,N/A,Wealth Management Analyst,8/20,7/23,Operational Risk Analyst,8/5,8/22,1.1
1359,University of New Mexico,0.7,Phd,Bloomington,F,1,0,1,0,Quantitative Risk Analyst,11/19,8/22,Actuarial Analyst,12/6,3/23,Churn Prediction Specialist,10/13,8/15,0
1360,University of Aberdeen,1.14,Masters,Evanston,N/A,1,1,N/A,3,Financial Planning and Analysis Analyst,11/18,1/20,Quantitative Behavioral Finance Analyst,3/22,1/24,Machine Learning Model Validator,12/21,5/24,6.89
1361,University of Alaska Fairbanks,2.35,Phd,Chapel Hill,F,1,0,N/A,0,Operational Risk Modeling Analyst,6/6,N/A,Retail Banking Analyst,4/23,9/24,N/A,N/A,N/A,0.63
1362,Carnegie Mellon University,2.09,Bachelors,Roehampton,M,N/A,1,N/A,4,Derivatives Analyst,11/8,3/11,Basel II Analyst,12/17,10/21,N/A,N/A,N/A,8.84
1363,University of Colorado Boulder,2.37,Masters,Clemson,F,1,1,1,1,Credit Scoring Specialist,4/6,7/20,Data Visualization Specialist,7/15,1/17,Quantitative Model Validator,9/21,11/21,8.95
1364,University of Bradford,2.72,Bachelors,Tulsa,N/A,0,1,1,4,Algorithmic Audit Specialist,12/15,N/A,Banking Operations Data Scientist,5/10,3/23,N/A,N/A,N/A,2.54
1365,West Virginia University,4.38,Masters,Edinburgh,F,N/A,0,N/A,4,Banking Fraud Investigator,11/7,2/11,Strategic Planning Analyst,5/3,7/7,N/A,N/A,N/A,3.43
1366,University of California Santa Barbara,3.97,Bachelors,Oxford,M,1,0,0,0,Product Pricing Analyst,1/24,10/24,N/A,N/A,N/A,N/A,N/A,N/A,5.04
1367,University of California Merced,0.21,Phd,Reading,F,1,0,1,0,Treasury Data Scientist,12/10,7/21,N/A,N/A,N/A,N/A,N/A,N/A,0.73
1368,St Georges University of London,0.98,Masters,Edinburgh,M,N/A,0,N/A,0,Sales Analyst,4/13,11/24,Treasury Analyst,12/12,1/17,Regulatory Compliance Analyst,5/14,9/14,8.34
1369,De Montfort University,1.16,Bachelors,Boston,M,N/A,1,N/A,0,Corporate Finance Analyst,12/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.81
1370,University of Roehampton,0.87,Bachelors,Washington,M,1,1,1,0,Sales Analyst,12/20,4/23,Business Intelligence Analyst,1/12,5/17,Quantitative Risk Analyst,5/7,10/24,8.59
1371,University of Greenwich,2.21,Masters,Sheffield,M,0,1,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.77
1372,Royal Veterinary College,2.23,Phd,New Brunswick,M,1,1,N/A,1,Financial Reporting Analyst,2/18,N/A,Credit Portfolio Manager,9/22,8/23,Commercial Banking Analyst,4/13,4/18,7.33
1373,University of Central Florida,4.31,Bachelors,Pittsburgh,N/A,1,0,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.37
1374,University of Portsmouth,4.12,Masters,Arlington,M,0,1,1,0,Liquidity Stress Testing Analyst,6/16,8/24,Basel III Implementation Specialist,12/3,9/9,Financial Reporting Analyst,11/14,4/24,8.01
1375,Oakland University,1.37,Masters,Atlanta,M,0,0,N/A,3,Credit Risk Analyst,11/6,9/10,Forensic Accountant,5/3,2/8,Financial Data Analyst,5/15,7/17,5.19
1376,University of South Florida,0.93,Bachelors,Portsmouth,M,0,0,N/A,4,Credit Loss Forecasting Analyst,9/2,6/14,Fraud Detection Analyst,5/16,6/16,Banking Analytics Consultant,9/22,1/23,2.13
1377,California State University Long Beach,2.07,Phd,Leeds,F,0,0,N/A,4,Equity Research Analyst,8/6,6/22,Insurance Analyst,11/17,8/18,Portfolio Optimization Analyst,9/18,1/22,3.82
1378,Birkbeck University of London,4.31,Bachelors,Ann Arbor,N/A,0,0,1,0,Algorithmic Market Maker,9/4,5/9,Mergers and Acquisitions Analyst,3/3,11/6,Regulatory Reporting Data Scientist,6/16,1/20,1.65
1379,University of Texas at Austin,2.31,Masters,Philadelphia,M,1,0,0,2,Revenue Analyst,4/10,4/15,Banking Technology Consultant,12/7,3/22,Corporate Strategy Data Scientist,10/7,2/8,6.93
1380,University of Notre Dame,0.38,Phd,Cambridge,M,1,0,N/A,2,Algorithmic Audit Specialist,10/18,10/24,Algorithmic Compliance Officer,2/7,8/22,Banking Analytics Consultant,7/16,7/24,8.34
1381,University of Nevada Las Vegas,1.61,Phd,Hatfield,N/A,1,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.7
1382,University of Iowa,3.58,Phd,Bloomsbury,M,N/A,1,1,1,Commodity Analyst,12/2,11/12,Enterprise Risk Management Analyst,10/11,8/13,Liquidity Risk Analyst,10/5,3/24,9.18
1383,Aberystwyth University,1.16,Masters,Binghamton,M,0,1,N/A,4,Regulatory Reporting Data Scientist,11/11,8/12,Corporate Finance Analyst,3/17,9/20,Financial Product Analyst,6/16,4/22,8.84
1384,New Mexico State University,3.55,Phd,San Diego,F,1,0,N/A,1,Fixed Income Analyst,5/8,2/20,N/A,N/A,N/A,N/A,N/A,N/A,2.66
1385,Leeds Beckett University,4.77,Phd,Birmingham,N/A,0,0,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.12
1386,University of Bradford,4.85,Phd,Albany,F,N/A,0,0,4,Derivatives Pricing Analyst,8/15,9/17,Treasury Data Scientist,3/10,10/22,Data Visualization Specialist,8/17,10/22,1.77
1387,University of North Florida,1.68,Phd,Philadelphia,F,N/A,1,0,0,Commodity Analyst,4/10,12/24,Customer Segmentation Specialist,12/18,1/19,N/A,N/A,N/A,1.28
1388,London South Bank University,3.11,Bachelors,Bellingham,F,1,0,1,4,Investment Portfolio Analyst,5/6,5/13,Investment Analyst,5/22,12/22,Customer Segmentation Specialist,5/14,10/15,1.37
1389,Brunel University London,1.8,Phd,St. Louis,M,0,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.83
1390,University of Miami,3.71,Masters,Fairbanks,M,1,0,0,2,Cost Analyst,11/17,4/24,Financial Modelling Analyst,4/10,12/20,N/A,N/A,N/A,8.32
1391,Oklahoma State University,0.39,Masters,Portland,M,0,0,N/A,1,Hedge Fund Analyst,12/16,5/23,Insurance Analyst,5/16,7/21,Business Intelligence Analyst,12/6,8/19,8.99
1392,New Mexico State University,2.16,Bachelors,Tuscaloosa,N/A,N/A,0,0,4,Corporate Finance Analyst,11/4,2/16,Customer Lifetime Value Analyst,1/13,10/22,N/A,N/A,N/A,8.38
1393,University of Alabama in Huntsville,2.64,Masters,Fort Lauderdale,N/A,0,1,0,1,Banking Technology Consultant,8/10,7/20,Securities Analyst,12/15,4/24,N/A,N/A,N/A,2.3
1394,University of Edinburgh,0.25,Phd,Ames,M,1,0,0,0,Public Finance Analyst,1/5,5/5,Economic Analyst,6/14,10/22,Credit Analyst,5/7,10/14,6.8
1395,University of Leeds,0.36,Masters,Fort Lauderdale,N/A,N/A,0,0,1,Financial Advisor,8/10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.02
1396,University of North Florida,1.19,Bachelors,Bristol,M,0,1,1,0,Corporate Finance Analyst,8/7,1/22,Alternative Data Researcher,1/18,9/18,Investment Risk Analyst,11/23,6/24,8.72
1397,Sheffield Hallam University,3.29,Phd,Edinburgh,F,1,1,0,4,Investment Banking Analyst,7/22,11/22,Credit Analyst,9/23,3/24,Forensic Accountant,2/15,10/18,7.53
1398,Dartmouth College,1.25,Masters,Colchester,N/A,N/A,1,N/A,4,Financial Product Analyst,2/6,12/19,N/A,N/A,N/A,N/A,N/A,N/A,3.88
1399,University of Wolverhampton,4.15,Bachelors,Cambridge,N/A,0,1,N/A,1,Financial Advisor,2/23,9/23,Alternative Data Researcher,12/11,3/12,Stress Testing Modeler,2/3,12/9,7.29
1400,University of Hawaii ,0.19,Masters,Miami,M,0,0,0,4,Mutual Fund Analyst,10/24,12/24,Algorithm Validation Engineer,2/21,2/22,Model Development Analyst,6/15,11/19,1.9
1401,University of California San Diego,2.48,Bachelors,Troy,M,N/A,0,0,1,Asset Liability Management Analyst,9/14,6/23,Treasury Analyst,2/22,4/23,N/A,N/A,N/A,8.9
1402,North Carolina State University,4.83,Phd,Washington DC,N/A,0,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.74
1403,University of Washington,4.52,Phd,Cambridge,F,1,0,1,3,Fraud Detection Analyst,10/8,N/A,Financial Econometrics Researcher,3/7,10/14,Loan Approval Modeler,3/18,1/23,5.18
1404,Northumbria University,2.26,Phd,Buffalo,M,0,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.66
1405,University of Delaware,0.7,Phd,Troy,F,1,1,0,1,Banking Analytics Consultant,12/18,8/21,Financial Product Analyst,10/2,11/3,Algorithmic Trading Risk Manager,9/8,10/19,1.3
1406,St Georges University of London,0.39,Masters,Cambridge,M,N/A,0,0,0,Customer Lifetime Value Analyst,3/3,N/A,Predictive Analytics Manager,1/5,5/7,Equity Research Analyst,4/13,7/14,9.12
1407,University of Denver,4.26,Bachelors,Coventry,F,0,1,0,1,Financial Modelling Analyst,4/7,7/14,Financial Modelling Analyst,10/23,4/24,Algorithmic Market Maker,4/2,5/18,3.5
1408,University of Leicester,3.4,Phd,Los Angeles,M,N/A,1,0,1,High Frequency Trading Strategist,1/6,5/12,N/A,N/A,N/A,N/A,N/A,N/A,4.32
1409,Texas AandM University,1.02,Masters,Aberystwyth,N/A,1,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.72
1410,Swansea University,3.74,Bachelors,Guildford,N/A,1,0,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.32
1411,Carnegie Mellon University,2.65,Masters,Philadelphia,F,0,0,0,2,Derivatives Pricing Analyst,3/23,9/24,Credit Default Swap Analyst,9/7,11/22,Regulatory Compliance Analyst,7/9,2/13,8.37
1412,William and Mary,3.13,Phd,Pasadena,N/A,1,1,1,2,Credit Scoring Specialist,12/5,6/6,Asset Pricing Analyst,3/4,6/7,Model Implementation Specialist,6/2,6/13,0.01
1413,Brown University,3.2,Bachelors,Guildford,F,0,1,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.07
1414,Marquette University,4.35,Bachelors,Ames,M,1,0,1,4,Enterprise Risk Management Analyst,2/12,8/24,Operational Risk Modeling Analyst,5/17,12/20,Customer Experience Analyst,1/15,10/19,3.79
1415,University of Minnesota,1.31,Masters,Roehampton,N/A,1,1,N/A,2,Corporate Finance Analyst,11/21,9/22,Market Microstructure Analyst,7/17,5/23,N/A,N/A,N/A,2.43
1416,University of Bedfordshire,4.13,Masters,Storrs,N/A,0,1,N/A,2,Robo Advisory Data Scientist,2/17,9/18,Financial Reporting Data Scientist,5/5,7/23,N/A,N/A,N/A,5.73
1417,Indiana University,3.26,Bachelors,Washington,M,1,0,N/A,0,Regulatory Compliance Analyst,6/7,6/12,N/A,N/A,N/A,N/A,N/A,N/A,4.75
1418,Western Washington University,2.51,Masters,Birmingham,F,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.57
1419,Manchester Metropolitan University,2.45,Phd,Sheffield,F,1,0,1,1,Enterprise Risk Management Analyst,1/4,5/12,Investment Risk Analyst,3/4,1/5,N/A,N/A,N/A,5.15
1420,Manchester Metropolitan University,1.28,Bachelors,Exeter,N/A,N/A,0,N/A,2,Credit Loss Forecasting Analyst,7/9,7/16,N/A,N/A,N/A,N/A,N/A,N/A,3.32
1421,Kent State University,2.79,Masters,York,N/A,N/A,1,0,3,Algorithmic Trade Surveillance Analyst,3/5,12/23,Regulatory Reporting Data Scientist,1/20,12/23,Financial Engineering Specialist,2/17,10/21,8.6
1422,University of Alabama in Huntsville,4.38,Phd,Hoboken,F,1,0,N/A,2,Derivatives Pricing Analyst,3/11,5/24,Predictive Analytics Manager,10/9,3/14,N/A,N/A,N/A,6.97
1423,Drexel University,1.47,Masters,Binghamton,N/A,N/A,0,0,1,Anti Money Laundering Specialist,9/7,12/12,Anti Money Laundering Specialist,3/9,6/11,Hedge Fund Analyst,1/11,8/15,4.62
